frame,time_s,vehicle_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence
28,0.933,4,car,549.0,341.7,582.6,372.8,565.8,357.3,0.452
28,0.933,6,car,405.9,502.8,519.9,584.8,462.9,543.8,0.765
28,0.933,8,car,692.5,335.6,731.8,368.9,712.2,352.3,0.697
28,0.933,7,car,294.7,395.9,359.0,439.0,326.9,417.5,0.603
29,0.967,2,car,430.3,375.2,476.5,414.8,453.4,395.0,0.72
29,0.967,6,car,409.4,497.4,520.7,579.0,465.1,538.2,0.711
29,0.967,8,car,693.7,337.6,733.9,371.8,713.8,354.7,0.658
29,0.967,7,car,296.8,394.3,359.9,437.3,328.3,415.8,0.566
29,0.967,18,bus,0.0,557.2,206.8,717.6,103.4,637.4,0.676
30,1.0,2,car,432.5,373.6,479.0,413.5,455.8,393.6,0.723
30,1.0,6,car,416.3,493.0,520.4,570.4,468.4,531.7,0.77
30,1.0,8,car,694.4,339.6,735.3,374.5,714.8,357.0,0.667
30,1.0,7,car,300.4,391.7,363.9,435.7,332.1,413.7,0.531
30,1.0,18,bus,0.0,550.9,215.1,717.5,107.5,634.2,0.588
30,1.0,5,truck,781.1,286.6,865.7,369.1,823.4,327.8,0.487
31,1.033,2,car,435.1,371.9,480.6,410.9,457.8,391.4,0.763
31,1.033,6,car,419.1,487.6,520.6,564.3,469.9,526.0,0.745
31,1.033,8,car,694.2,341.6,737.5,378.7,715.9,360.2,0.61
31,1.033,7,car,305.7,389.7,369.0,433.7,337.3,411.7,0.576
32,1.067,2,car,437.0,370.5,481.5,408.5,459.3,389.5,0.821
32,1.067,6,car,421.7,481.9,520.2,557.7,471.0,519.8,0.656
32,1.067,8,car,694.7,344.0,739.4,382.5,717.1,363.3,0.672
32,1.067,7,car,311.1,388.3,373.7,431.7,342.4,410.0,0.601
32,1.067,18,bus,0.5,535.1,234.5,716.2,117.5,625.7,0.54
32,1.067,5,bus,784.6,287.6,871.5,372.1,828.1,329.8,0.487
33,1.1,2,car,437.6,369.9,481.9,407.8,459.8,388.8,0.82
33,1.1,6,car,423.1,480.0,519.6,555.7,471.4,517.8,0.659
33,1.1,8,car,694.9,344.9,740.1,383.9,717.5,364.4,0.669
33,1.1,7,car,312.9,388.0,375.4,431.0,344.2,409.5,0.599
33,1.1,18,bus,0.8,532.7,237.5,715.8,119.2,624.2,0.526
33,1.1,5,bus,785.1,287.7,872.6,372.6,828.9,330.2,0.478
34,1.133,2,car,439.0,368.4,483.7,406.6,461.4,387.5,0.802
34,1.133,6,car,426.2,478.0,519.5,552.1,472.9,515.1,0.745
34,1.133,8,car,695.5,345.4,741.4,385.5,718.5,365.5,0.6
34,1.133,7,car,315.7,387.9,376.8,429.7,346.2,408.8,0.681
34,1.133,18,bus,1.2,526.7,244.2,714.7,122.7,620.7,0.63
34,1.133,5,truck,786.6,288.2,875.8,374.5,831.2,331.4,0.521
35,1.167,2,car,440.5,367.2,484.5,405.0,462.5,386.1,0.797
35,1.167,6,car,432.0,474.6,522.0,546.7,477.0,510.7,0.781
35,1.167,8,car,697.7,348.0,743.3,387.8,720.5,367.9,0.731
35,1.167,7,car,318.9,387.0,378.1,427.5,348.5,407.2,0.735
35,1.167,5,truck,788.3,289.3,879.2,377.0,833.7,333.2,0.485
36,1.2,2,car,441.8,365.8,485.6,403.5,463.7,384.6,0.758
36,1.2,6,car,436.0,471.2,524.6,543.0,480.3,507.1,0.733
36,1.2,8,car,699.7,351.2,744.7,390.7,722.2,370.9,0.721
36,1.2,7,car,321.8,386.0,379.1,424.9,350.5,405.5,0.771
36,1.2,18,truck,0.4,514.3,260.2,715.4,130.3,614.8,0.475
37,1.233,2,car,443.9,365.0,486.7,401.6,465.3,383.3,0.748
37,1.233,6,car,440.5,466.6,525.9,536.3,483.2,501.5,0.757
37,1.233,8,car,700.6,353.8,747.1,394.9,723.8,374.3,0.686
37,1.233,7,car,323.1,384.9,379.3,423.3,351.2,404.1,0.703
37,1.233,18,bus,0.3,508.2,267.6,715.4,134.0,611.8,0.603
38,1.267,2,car,445.6,363.8,488.0,399.6,466.8,381.7,0.759
38,1.267,6,car,445.1,463.1,526.4,529.9,485.7,496.5,0.79
38,1.267,8,car,702.8,358.2,748.9,398.9,725.9,378.6,0.695
38,1.267,7,car,326.2,383.1,382.6,421.8,354.4,402.4,0.617
38,1.267,18,bus,0.0,501.8,276.4,716.2,138.2,609.0,0.615
38,1.267,4,car,552.1,334.3,584.9,364.8,568.5,349.5,0.478
39,1.3,2,car,446.1,363.5,488.5,399.1,467.3,381.3,0.761
39,1.3,6,car,446.5,462.0,526.2,527.8,486.4,494.9,0.788
39,1.3,8,car,703.6,359.8,749.5,400.4,726.6,380.1,0.686
39,1.3,7,car,327.2,382.4,383.5,421.4,355.4,401.9,0.614
39,1.3,18,bus,0.0,499.4,279.5,716.4,139.7,607.9,0.605
39,1.3,4,car,552.3,334.1,584.9,364.5,568.6,349.3,0.485
40,1.333,2,car,446.9,363.1,488.6,397.6,467.7,380.3,0.757
40,1.333,6,car,448.0,458.8,527.8,525.3,487.9,492.0,0.717
40,1.333,8,car,705.0,361.1,753.0,403.5,729.0,382.3,0.68
40,1.333,7,car,328.4,382.2,381.8,419.7,355.1,401.0,0.557
40,1.333,18,bus,0.0,492.9,286.5,716.5,143.3,604.7,0.492
