vehicle_id,frame,speed_kmh,lane_id,class
6,108,22.84,unknown,car
6,115,29.51,unknown,car
6,116,29.89,unknown,car
6,120,27.78,unknown,car
6,121,24.95,unknown,car
6,133,31.5,unknown,car
6,136,40.26,unknown,car
7,5,38.5,unknown,car
7,6,35.09,unknown,car
7,7,24.59,unknown,car
7,8,20.05,unknown,car
7,10,23.12,unknown,car
7,11,22.67,unknown,car
7,12,29.29,unknown,car
7,13,25.53,unknown,car
7,14,28.78,unknown,car
7,18,24.73,unknown,car
7,20,26.47,unknown,car
7,26,33.08,unknown,car
7,30,23.14,unknown,car
7,31,25.75,unknown,car
7,32,24.12,unknown,car
7,38,20.29,unknown,car
7,43,30.02,unknown,car
7,44,30.37,unknown,car
7,53,21.08,unknown,car
7,56,23.41,unknown,car
7,65,20.52,unknown,car
7,74,93.8,unknown,car
8,5,34.52,right_carriageway_lane1,car
8,6,35.69,right_carriageway_lane1,car
8,7,27.38,right_carriageway_lane1,car
8,11,39.23,right_carriageway_lane1,car
8,12,34.44,right_carriageway_lane1,car
8,13,30.0,right_carriageway_lane1,car
8,14,22.17,right_carriageway_lane1,car
8,16,23.49,right_carriageway_lane1,car
8,17,37.81,right_carriageway_lane1,car
8,18,27.74,right_carriageway_lane1,car
8,19,34.96,right_carriageway_lane1,car
8,20,26.99,right_carriageway_lane1,car
8,22,30.48,right_carriageway_lane1,car
8,23,33.29,right_carriageway_lane1,car
8,24,34.27,right_carriageway_lane1,car
8,25,40.23,right_carriageway_lane1,car
8,26,39.8,right_carriageway_lane1,car
8,28,21.7,right_carriageway_lane1,car
8,29,37.07,right_carriageway_lane1,car
8,30,34.47,right_carriageway_lane1,car
8,31,46.86,right_carriageway_lane1,car
8,32,44.44,right_carriageway_lane1,car
8,35,34.16,right_carriageway_lane1,car
8,36,41.06,right_carriageway_lane1,car
8,37,45.28,right_carriageway_lane1,car
8,38,55.82,right_carriageway_lane1,car
8,40,29.17,right_carriageway_lane1,car
8,41,36.91,right_carriageway_lane1,car
8,42,53.11,right_carriageway_lane1,car
8,43,49.5,right_carriageway_lane1,car
8,44,56.74,right_carriageway_lane1,car
8,46,34.22,right_carriageway_lane1,car
8,47,47.24,right_carriageway_lane1,car
8,48,43.39,right_carriageway_lane1,car
8,49,64.71,right_carriageway_lane1,car
8,50,61.2,right_carriageway_lane1,car
8,51,22.75,right_carriageway_lane1,car
8,52,43.78,right_carriageway_lane1,car
8,53,49.63,right_carriageway_lane1,car
8,54,57.16,right_carriageway_lane1,car
8,55,55.35,right_carriageway_lane1,car
8,56,69.4,right_carriageway_lane1,car
8,57,26.51,right_carriageway_lane1,car
8,58,46.43,right_carriageway_lane1,car
8,59,57.66,right_carriageway_lane1,car
8,60,66.76,right_carriageway_lane1,car
8,61,66.45,right_carriageway_lane1,car
8,62,63.42,right_carriageway_lane1,car
8,63,23.21,right_carriageway_lane1,car
8,64,62.02,right_carriageway_lane1,car
8,65,75.51,right_carriageway_lane1,car
8,66,77.69,right_carriageway_lane1,car
8,67,81.93,right_carriageway_lane1,car
8,68,78.86,right_carriageway_lane1,car
8,69,29.38,right_carriageway_lane1,car
8,70,64.5,right_carriageway_lane1,car
8,71,79.77,right_carriageway_lane1,car
8,72,75.54,right_carriageway_lane1,car
8,73,52.02,right_carriageway_lane1,car
8,74,61.82,right_carriageway_lane1,car
8,75,21.78,right_carriageway_lane1,car
8,76,35.78,right_carriageway_lane1,car
8,77,38.83,unknown,car
9,7,63.13,right_carriageway_lane3,car
9,8,83.27,right_carriageway_lane3,car
9,9,25.29,right_carriageway_lane3,car
9,10,58.4,right_carriageway_lane3,car
9,11,74.04,right_carriageway_lane3,car
9,12,40.25,right_carriageway_lane3,car
10,12,23.2,unknown,car
10,20,108.94,unknown,car
10,42,125.85,unknown,car
18,32,32.91,unknown,bus
18,36,24.22,unknown,truck
18,43,28.75,unknown,bus
18,44,28.37,unknown,bus
18,46,27.1,unknown,bus
18,47,31.91,unknown,bus
18,48,34.03,unknown,truck
18,49,38.77,unknown,bus
18,50,38.71,unknown,bus
18,52,27.21,unknown,bus
18,53,34.02,unknown,bus
18,54,35.57,unknown,truck
18,55,37.12,unknown,truck
18,56,35.24,unknown,truck
18,58,25.53,unknown,truck
18,59,29.82,unknown,truck
18,60,31.03,unknown,truck
18,61,33.24,unknown,truck
18,62,32.46,unknown,truck
18,64,25.6,unknown,truck
18,65,24.17,unknown,bus
18,66,28.8,unknown,bus
18,67,32.48,unknown,bus
18,68,35.68,unknown,bus
18,71,27.24,unknown,truck
18,72,29.27,unknown,truck
18,73,27.27,unknown,truck
18,74,30.59,unknown,truck
18,77,29.78,unknown,bus
18,78,34.74,unknown,bus
18,79,24.3,unknown,bus
18,80,26.7,unknown,truck
18,83,24.74,unknown,truck
18,84,22.12,unknown,truck
18,85,29.61,unknown,truck
18,86,22.98,unknown,truck
18,89,29.82,unknown,bus
18,90,22.0,unknown,truck
18,91,27.18,unknown,truck
18,92,29.76,unknown,truck
18,95,24.54,unknown,bus
18,98,42.6,unknown,bus
18,106,24.22,unknown,truck
18,107,25.79,unknown,truck
18,108,20.63,unknown,truck
18,109,36.3,unknown,truck
18,110,24.6,unknown,truck
18,119,28.09,unknown,truck
18,120,24.05,unknown,truck
18,125,35.73,unknown,truck
18,126,27.94,unknown,truck
18,131,25.6,unknown,truck
18,142,96.93,unknown,bus
18,146,40.05,unknown,bus
18,173,90.43,unknown,bus
18,202,85.53,unknown,bus
19,54,29.46,unknown,car
19,55,33.5,unknown,car
19,56,36.87,unknown,car
19,58,26.8,unknown,car
19,59,32.65,unknown,car
19,60,39.19,unknown,car
19,61,30.2,unknown,car
19,62,35.58,unknown,car
19,64,27.21,unknown,car
19,65,32.1,unknown,car
19,66,31.68,unknown,car
19,67,35.98,unknown,car
19,68,32.36,unknown,car
19,70,26.06,unknown,car
19,71,29.99,unknown,car
19,72,36.36,unknown,car
19,73,32.11,unknown,car
19,74,25.89,unknown,car
19,76,24.64,unknown,car
19,77,26.45,unknown,car
19,78,28.84,unknown,car
19,79,35.92,unknown,car
19,80,30.97,unknown,car
19,83,26.7,unknown,car
19,84,22.3,unknown,car
19,85,26.28,unknown,car
19,86,28.18,unknown,car
19,88,24.45,unknown,car
19,89,24.86,unknown,car
19,90,25.4,unknown,car
19,91,31.26,unknown,car
19,92,24.69,unknown,car
19,95,24.72,unknown,car
19,96,23.38,unknown,car
19,97,32.3,unknown,car
19,98,26.9,unknown,car
19,102,21.82,unknown,car
19,103,26.65,unknown,car
19,104,25.21,unknown,car
19,107,23.23,unknown,car
19,110,25.0,unknown,car
19,114,20.79,unknown,car
19,115,21.04,unknown,car
19,116,23.77,unknown,car
19,121,27.95,unknown,car
19,122,21.54,unknown,car
19,126,21.04,unknown,car
19,127,23.64,unknown,car
19,128,30.02,unknown,car
19,133,22.41,unknown,car
19,134,22.68,unknown,car
19,138,20.84,unknown,car
19,140,29.3,unknown,car
19,152,26.14,unknown,car
19,161,68.49,unknown,car
19,162,24.81,unknown,car
19,182,20.79,unknown,car
20,48,38.68,right_carriageway_lane1,car
20,49,49.23,right_carriageway_lane1,car
20,50,39.58,right_carriageway_lane1,car
20,53,34.91,right_carriageway_lane1,car
20,54,37.6,right_carriageway_lane1,car
20,55,41.86,right_carriageway_lane1,car
20,56,40.94,right_carriageway_lane1,car
20,58,24.95,right_carriageway_lane1,car
20,59,37.41,right_carriageway_lane1,car
20,60,37.08,right_carriageway_lane1,car
20,61,38.29,right_carriageway_lane1,car
20,62,55.94,right_carriageway_lane1,car
20,63,21.46,right_carriageway_lane1,car
20,64,32.26,right_carriageway_lane1,car
20,65,45.46,right_carriageway_lane1,car
20,66,39.48,right_carriageway_lane1,car
20,67,44.4,right_carriageway_lane1,car
20,68,55.13,right_carriageway_lane1,car
20,70,39.46,right_carriageway_lane1,car
20,71,43.14,right_carriageway_lane1,car
20,72,43.71,right_carriageway_lane1,car
20,73,50.11,right_carriageway_lane1,car
20,74,48.87,right_carriageway_lane1,car
20,76,48.96,right_carriageway_lane1,car
20,77,55.74,right_carriageway_lane1,car
20,78,60.4,right_carriageway_lane1,car
20,79,61.59,right_carriageway_lane1,car
20,80,60.25,right_carriageway_lane1,car
20,81,22.12,right_carriageway_lane1,car
20,82,44.42,right_carriageway_lane1,car
20,83,68.19,right_carriageway_lane1,car
20,84,62.36,right_carriageway_lane1,car
20,85,67.46,right_carriageway_lane1,car
20,86,68.37,right_carriageway_lane1,car
20,87,24.96,right_carriageway_lane1,car
20,88,52.33,right_carriageway_lane1,car
20,89,65.7,right_carriageway_lane1,car
20,90,70.55,right_carriageway_lane1,car
20,91,76.56,right_carriageway_lane1,car
20,92,76.01,right_carriageway_lane1,car
20,93,28.51,right_carriageway_lane1,car
20,94,66.5,right_carriageway_lane1,car
20,95,70.57,right_carriageway_lane1,car
20,96,89.29,right_carriageway_lane1,car
20,97,84.43,right_carriageway_lane1,car
20,98,73.85,right_carriageway_lane1,car
20,99,25.91,right_carriageway_lane1,car
20,100,43.42,right_carriageway_lane1,car
20,101,43.15,right_carriageway_lane1,car
20,102,41.89,right_carriageway_lane1,car
20,103,37.13,unknown,car
22,54,31.18,right_carriageway_lane3,bus
24,58,48.18,right_carriageway_lane1,car
24,67,22.39,right_carriageway_lane1,car
24,68,27.31,right_carriageway_lane1,car
24,70,38.56,right_carriageway_lane1,car
24,71,42.66,right_carriageway_lane1,car
24,72,46.98,right_carriageway_lane1,car
24,73,39.53,right_carriageway_lane1,car
24,74,43.45,right_carriageway_lane1,car
24,76,29.15,right_carriageway_lane1,car
24,77,34.67,right_carriageway_lane1,car
24,78,35.4,right_carriageway_lane1,car
24,79,48.59,right_carriageway_lane1,car
24,80,37.39,right_carriageway_lane1,car
24,82,30.4,right_carriageway_lane1,car
24,83,51.99,right_carriageway_lane1,car
24,84,49.48,right_carriageway_lane1,car
24,85,58.98,right_carriageway_lane1,car
24,86,44.82,right_carriageway_lane1,car
24,88,31.26,right_carriageway_lane1,car
24,89,51.35,right_carriageway_lane1,car
24,90,44.66,right_carriageway_lane1,car
24,91,62.3,right_carriageway_lane1,car
24,92,53.89,right_carriageway_lane1,car
24,94,38.08,right_carriageway_lane1,car
24,95,55.28,right_carriageway_lane1,car
24,96,55.46,right_carriageway_lane1,car
24,97,58.6,right_carriageway_lane1,car
24,98,62.65,right_carriageway_lane1,car
24,99,23.0,right_carriageway_lane1,car
